,SentNumber,Quantifier,Matrix,WhichCategory,Subject,Predicate,SentType,Verb,Embedded,Token,MatchingCategory,MismatchingCategory,Group
0,1,some,,Matching,Token,Category,T1,none,0,alligators,reptiles,mamals,A
1,1,some,,Matching,Token,Category,T1,none,0,cats,mammals,fruit,A
2,1,some,,Matching,Token,Category,T1,none,0,crocodiles,reptiles,mamals,B
3,1,some,,Matching,Token,Category,T1,none,0,horses,mammals,fruit,B
4,1,some,,Matching,Token,Category,T1,none,0,chameleons,reptiles,mamals,C
5,1,some,,Matching,Token,Category,T1,none,0,dogs,mammals,fruit,C
6,1,some,,Matching,Token,Category,T1,none,0,iguanas,reptiles,mamals,D
7,1,some,,Matching,Token,Category,T1,none,0,pigs,mammals,fruit,D
8,1,some,,Matching,Token,Category,T1,none,0,lizards,reptiles,mamals,E
9,1,some,,Matching,Token,Category,T1,none,0,elephants,mammals,fruit,E
10,1,some,,Matching,Token,Category,T1,none,0,geckos,reptiles,mamals,F
11,1,some,,Matching,Token,Category,T1,none,0,sheep,mammals,fruit,F
12,1,some,,Matching,Token,Category,T1,none,0,anchovies,fishes,birds,G
13,1,some,,Matching,Token,Category,T1,none,0,wasps,insects,fishes,G
14,1,some,,Matching,Token,Category,T1,none,0,carp,fishes,birds,H
15,1,some,,Matching,Token,Category,T1,none,0,cockroaches,insects,fishes,H
16,1,some,,Matching,Token,Category,T1,none,0,cod,fishes,birds,I
17,1,some,,Matching,Token,Category,T1,none,0,cicadas,insects,fishes,I
18,1,some,,Matching,Token,Category,T1,none,0,piranhas,fishes,birds,J
19,1,some,,Matching,Token,Category,T1,none,0,ants,insects,fishes,J
20,1,some,,Matching,Token,Category,T1,none,0,mackerels,fishes,birds,K
21,1,some,,Matching,Token,Category,T1,none,0,flies,insects,fishes,K
22,1,some,,Matching,Token,Category,T1,none,0,herring,fishes,birds,L
23,1,some,,Matching,Token,Category,T1,none,0,mosquitos,insects,fishes,L
24,1,some,,Matching,Token,Category,T1,none,0,eagles,birds,reptiles,M
25,1,some,,Matching,Token,Category,T1,none,0,strawberries,fruit,insects,M
26,1,some,,Matching,Token,Category,T1,none,0,canaries,birds,reptiles,N
27,1,some,,Matching,Token,Category,T1,none,0,bananas,fruit,insects,N
28,1,some,,Matching,Token,Category,T1,none,0,crows,birds,reptiles,O
29,1,some,,Matching,Token,Category,T1,none,0,apples,fruit,insects,O
30,1,some,,Matching,Token,Category,T1,none,0,owls,birds,reptiles,P
31,1,some,,Matching,Token,Category,T1,none,0,peaches,fruit,insects,P
32,1,some,,Matching,Token,Category,T1,none,0,sparrows,birds,reptiles,Q
33,1,some,,Matching,Token,Category,T1,none,0,pears,fruit,insects,Q
34,1,some,,Matching,Token,Category,T1,none,0,doves,birds,reptiles,R
35,1,some,,Matching,Token,Category,T1,none,0,plums,fruit,insects,R
36,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,crocodiles,reptiles,mamals,A
37,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,horses,mammals,fruit,A
38,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,chameleons,reptiles,mamals,B
39,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,dogs,mammals,fruit,B
40,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,iguanas,reptiles,mamals,C
41,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,pigs,mammals,fruit,C
42,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,lizards,reptiles,mamals,D
43,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,elephants,mammals,fruit,D
44,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,geckos,reptiles,mamals,E
45,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,sheep,mammals,fruit,E
46,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,anchovies,fishes,birds,F
47,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,wasps,insects,fishes,F
48,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,carp,fishes,birds,G
49,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,cockroaches,insects,fishes,G
50,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,cod,fishes,birds,H
51,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,cicadas,insects,fishes,H
52,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,piranhas,fishes,birds,I
53,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,ants,insects,fishes,I
54,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,mackerels,fishes,birds,J
55,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,flies,insects,fishes,J
56,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,herring,fishes,birds,K
57,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,mosquitos,insects,fishes,K
58,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,eagles,birds,reptiles,L
59,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,strawberries,fruit,insects,L
60,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,canaries,birds,reptiles,M
61,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,bananas,fruit,insects,M
